uid,datetime,latitude,longitude,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,MOTORIST INJURED,MOTORIST KILLED,PEDESTRIANS KILLED,CYCLIST KILLED,CYCLIST INJURED,PEDESTRIANS INJURED,Total Victim,Injured,Killed
445,2/1/2018 2:41,-1.265887605,36.85879641,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
446,2/1/2018 2:46,-1.231188551,36.67016354,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
447,2/1/2018 3:04,-1.263453935,36.8625435,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
448,2/1/2018 5:06,-1.218636954,36.89136143,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
449,2/1/2018 12:01,-1.364663118,36.91164206,Traffic Control Disregarded,Other Vehicular,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Ambulance,1,0,0,0,0,0,1,1,0
450,2/1/2018 12:28,-1.364508879,36.91129477,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
451,2/1/2018 12:45,-1.306842411,36.8403217,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
452,2/1/2018 12:58,-1.484648409,37.1370319,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
453,2/1/2018 13:33,-1.32913701,36.856073,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,BICYCLE,1,0,0,0,0,0,1,1,0
454,2/2/2018 1:28,-1.259975199,36.84341754,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,PASSENGER VEHICLE,Taxi,TAXI,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
455,2/2/2018 16:11,-1.274793069,36.89328999,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
456,2/2/2018 16:16,-1.264306642,36.73225645,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
457,2/3/2018 2:33,-1.37934601,36.927907,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
458,2/3/2018 2:48,-1.372021355,36.91945427,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
459,2/3/2018 2:57,-1.379341985,36.9279107,Prescription Medication,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
460,2/3/2018 2:58,-1.278731011,36.872485,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
461,2/3/2018 3:00,-1.372021355,36.91945427,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
462,2/3/2018 3:14,-1.372555831,36.92049112,Brakes Defective,Other Vehicular,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Taxi,PASSENGER VEHICLE,Taxi,1,0,0,0,0,0,1,1,0
463,2/3/2018 3:24,-1.364663118,36.91164206,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
464,2/3/2018 3:43,-1.372163492,36.91961503,Traffic Control Device Improper/Non-Working,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
465,2/3/2018 3:55,-1.372555831,36.92049112,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
466,2/3/2018 4:02,-1.372021355,36.91945427,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
467,2/3/2018 4:10,-1.395628376,36.94102487,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,BICYCLE,1,0,0,0,0,0,1,1,0
468,2/3/2018 4:45,-1.248824411,36.872568,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
469,2/3/2018 5:08,-1.248874411,36.8634619,Illnes,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
470,2/3/2018 5:10,-1.195659523,36.92490526,Alcohol Involvement,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,Pick-up Truck,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
471,2/3/2018 6:07,-1.203744331,36.91752748,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
472,2/3/2018 6:32,-1.248874411,36.8634619,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
473,2/3/2018 6:35,-1.372555831,36.92049112,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,TAXI,Taxi,1,0,0,0,0,0,1,1,0
474,2/3/2018 9:34,-1.219482911,36.8933317,Unsafe Speed,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan,1,0,0,0,0,0,1,1,0
475,2/3/2018 10:15,-1.196029843,36.90172863,Following Too Closely,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,1,0,0,0,0,0,1,1,0
476,2/3/2018 13:38,-1.042645621,37.06371833,Unsafe Speed,Alcohol Involvement,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
477,2/3/2018 14:18,-1.231018192,36.87832985,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
478,2/3/2018 14:58,-1.216292411,36.8916422,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,FB,BU,BICYCLE,BICYCLE,BICYCLE,1,0,0,0,0,0,1,1,0
479,2/3/2018 19:15,-1.183882894,36.83852928,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Bus,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
480,2/3/2018 19:23,-1.057695811,37.0325732,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
481,2/4/2018 8:16,-1.274978035,36.89804153,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
482,2/4/2018 9:23,-0.900589712,37.186296,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
483,2/4/2018 13:04,-1.203744331,36.91752748,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
484,2/4/2018 13:28,-1.205806873,36.83197502,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
485,2/4/2018 13:34,-1.279601311,36.829892,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
486,2/4/2018 14:57,-1.332164026,36.88915363,Fatigued/Drowsy,Unspecified,Unspecified,Unspecified,Unspecified,LIVERY VEHICLE,Taxi,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
487,2/4/2018 15:45,-1.328413419,36.88100795,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
488,2/4/2018 16:29,-1.31964681,36.8379736,Alcohol Involvement,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,Pick-up Truck,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
489,2/4/2018 17:20,-1.328156511,36.870764,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
490,2/4/2018 18:24,-1.314411781,36.89401806,Unsafe Speed,Alcohol Involvement,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,0,0,0,0,0,1,1,1,0
491,2/5/2018 1:23,-1.218636954,36.89136143,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
492,2/5/2018 1:32,-1.218636954,36.89136143,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
493,2/5/2018 1:44,-1.203744331,36.91752748,Other Vehicular,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
494,2/5/2018 1:49,-1.218636954,36.89136143,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
495,2/5/2018 1:57,-1.215675019,36.89539128,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
496,2/5/2018 2:10,-1.260329272,36.77084897,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
497,2/5/2018 2:34,-1.271503111,36.8088515,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
498,2/5/2018 6:22,-1.275086761,36.8236817,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
499,2/5/2018 10:40,-1.274933811,36.82341674,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
500,2/5/2018 14:48,-1.274933811,36.82341674,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
501,2/6/2018 1:58,-1.257967814,36.7012531,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
502,2/6/2018 2:35,-1.297803641,36.87134223,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,Tractor Truck Diesel,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Sedan,0,1,0,0,0,0,1,0,1
503,2/6/2018 3:02,-1.330705172,36.85674344,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,0,0,0,0,1,0,1,1,0
504,2/6/2018 3:06,-1.330979021,36.85984337,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,OTHER,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
505,2/6/2018 3:13,-1.055624911,37.1139079,Alcohol Involvement,Other Vehicular,Other Vehicular,Other Vehicular,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,Pick-up Truck,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
506,2/6/2018 5:24,-1.271884404,36.82795068,Brakes Defective,Other Vehicular,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Taxi,PASSENGER VEHICLE,Taxi,1,0,0,0,0,0,1,1,0
507,2/6/2018 13:09,-1.338583158,36.77263527,Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
508,2/7/2018 1:41,-1.278242611,36.8214512,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
509,2/7/2018 1:56,-1.234118011,36.873424,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BU,1,0,0,0,0,0,1,1,0
510,2/7/2018 3:06,-1.317826328,36.77742324,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
511,2/7/2018 3:31,-1.30010442,36.78027659,Alcohol Involvement,Backing Unsafely,Backing Unsafely,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
512,2/7/2018 9:15,-1.119072512,36.618408,Driver Inexperience,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,1,0,0,0,0,0,1,1,0
513,2/7/2018 10:36,-1.203744331,36.91752748,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
514,2/7/2018 10:38,-1.250025371,36.82112292,Lost Consciousness,Unspecified,Unspecified,Unspecified,Unspecified,Van,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
515,2/7/2018 10:52,-1.528719046,37.12685795,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Taxi,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
516,2/7/2018 12:23,-1.033924711,37.0752096,Unsafe Speed,Passenger Distraction,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
517,2/7/2018 14:29,-1.323770853,36.84483024,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,TAXI,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
518,2/7/2018 14:42,-1.286987311,36.7424011,Outside Car Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
519,2/7/2018 15:47,-1.332488865,36.88592299,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
520,2/8/2018 1:22,-1.239166791,36.8116053,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
521,2/8/2018 2:09,-1.233801613,36.87316981,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
522,2/8/2018 2:13,-1.230999265,36.87787438,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
523,2/8/2018 3:00,-1.233019091,36.87399931,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
524,2/9/2018 2:39,-1.210917126,36.87497546,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
525,2/9/2018 2:43,-1.165142855,36.95856743,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Bus,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
526,2/9/2018 13:34,-1.397589042,36.94205675,Backing Unsafely,Unspecified,Unspecified,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
527,2/10/2018 5:46,-1.217735811,36.901386,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
528,2/10/2018 5:59,-1.217735811,36.901386,Other Vehicular,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
529,2/10/2018 7:11,-1.274933811,36.82341674,Driver Inattention/Distraction,Following Too Closely,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Sedan,1,0,0,0,0,0,1,1,0
530,2/10/2018 7:13,-1.274933811,36.82341674,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Sedan,Sedan,Refrigerated Van,Sedan,1,0,0,0,0,0,1,1,0
531,2/10/2018 7:53,-1.274933811,36.82341674,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
532,2/10/2018 10:04,-1.217311215,36.89447846,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
533,2/10/2018 13:45,-1.284440011,36.830619,Aggressive Driving/Road Rage,Unspecified,Unspecified,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,TAXI,Taxi,1,0,0,0,0,0,1,1,0
534,2/12/2018 1:11,-1.203744331,36.91752748,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
535,2/12/2018 1:28,-1.203744331,36.91752748,Brakes Defective,Unspecified,Unspecified,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
536,2/12/2018 1:39,-1.220865064,36.80140025,Other Vehicular,Unspecified,Unspecified,Unspecified,Unspecified,Ambulance,Bus,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,1,0,0,0,0,0,1,1,0
537,2/12/2018 1:46,-1.218580863,36.80176366,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,1,0,0,0,0,0,1,1,0
538,2/12/2018 2:19,-1.271173544,36.80726379,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,BU,1,0,0,0,0,0,1,1,0
539,2/12/2018 2:47,-1.24718835,36.81572131,Traffic Control Disregarded,Unspecified,Unspecified,Unspecified,Unspecified,Taxi,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,0,0,0,0,1,0,1,1,0
540,2/12/2018 2:59,-1.246390361,36.87998775,Alcohol Involvement,Backing Unsafely,Backing Unsafely,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,1,0,0,0,0,0,1,1,0
